school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Bethel (KS),S,29,105,15,0.14,12,72,.042,399,3.80,11,0.10,74,4,257,2.45,0,8,8,0.08,30.0,0.3
Bethel (KS),OH,29,105,261,2.49,96,801,.206,3,0.03,0,0.00,216,16,72,0.69,5,27,32,0.30,279.5,2.7
Bethel (KS),OH,23,78,112,1.44,69,343,.125,3,0.04,0,0.00,29,1,22,0.28,1,21,22,0.28,123.5,1.6
Bethel (KS),OH,29,106,3,0.03,8,45,-.111,6,0.06,48,0.45,444,34,261,2.46,0,2,2,0.02,52.0,0.5
Bethel (KS),S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),MH,29,106,109,1.03,53,327,.171,3,0.03,38,0.36,7,0,67,0.63,21,69,90,0.85,202.5,1.9
Bethel (KS),DS,1,1,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Bethel (KS),DS,1,1,0,0.00,1,1,-1.000,0,0.00,0,0.00,0,0,1,1.00,0,0,0,0.00,0.0,0.0
Bethel (KS),RS,28,94,118,1.26,89,434,.067,3,0.03,2,0.02,18,1,49,0.52,3,31,34,0.36,138.5,1.5
Bethel (KS),OH,2,4,0,0.00,0,1,.000,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Bethel (KS),DS,29,106,8,0.08,10,55,-.036,118,1.11,30,0.28,441,20,518,4.89,0,0,0,0.00,38.0,0.4
Bethel (KS),OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),RS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),MB,29,106,213,2.01,82,499,.263,2,0.02,0,0.00,11,4,32,0.30,15,69,84,0.79,262.5,2.5
Bethel (KS),DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),MH,14,39,63,1.62,21,177,.237,0,0.00,0,0.00,4,1,13,0.33,2,11,13,0.33,70.5,1.8
Bethel (KS),DS,3,6,1,0.17,0,1,1.000,0,0.00,1,0.17,0,0,1,0.17,0,0,0,0.00,2.0,0.3
Bethel (KS),N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethel (KS),RS,14,43,0,0.00,1,1,-1.000,0,0.00,8,0.19,0,0,17,0.40,0,0,0,0.00,8.0,0.2
Bethel (KS),MB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,S,28,101,23,0.23,18,111,.045,576,5.70,26,0.26,108,7,331,3.28,0,10,10,0.10,54.0,0.5
Briar Cliff,DS,21,78,1,0.01,11,51,-.196,58,0.74,16,0.21,441,31,314,4.03,0,0,0,0.00,17.0,0.2
Briar Cliff,OH,28,97,204,2.10,122,823,.100,3,0.03,0,0.00,157,13,71,0.73,1,29,30,0.31,219.5,2.3
Briar Cliff,S,2,5,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Briar Cliff,OH,26,79,26,0.33,17,124,.073,9,0.11,3,0.04,150,9,95,1.20,1,6,7,0.09,33.0,0.4
Briar Cliff,MH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,RS,28,101,4,0.04,6,21,-.095,13,0.13,14,0.14,502,31,227,2.25,0,0,0,0.00,18.0,0.2
Briar Cliff,S,3,9,0,0.00,0,2,.000,17,1.89,3,0.33,1,0,8,0.89,0,0,0,0.00,3.0,0.3
Briar Cliff,S,16,48,16,0.33,7,53,.170,226,4.71,7,0.15,2,0,85,1.77,1,7,8,0.17,27.5,0.6
Briar Cliff,OH,28,101,281,2.78,108,1034,.167,13,0.13,18,0.18,504,30,327,3.24,1,29,30,0.30,314.5,3.1
Briar Cliff,OH,2,3,1,0.33,0,2,.500,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,1.0,0.3
Briar Cliff,DS,20,47,0,0.00,0,1,.000,0,0.00,3,0.06,202,8,108,2.30,0,0,0,0.00,3.0,0.1
Briar Cliff,MH,28,101,168,1.66,97,520,.137,2,0.02,0,0.00,5,0,16,0.16,19,61,80,0.79,217.5,2.2
Briar Cliff,MH,3,5,3,0.60,2,7,.143,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,3.0,0.6
Briar Cliff,MH,4,4,4,1.00,0,17,.235,0,0.00,0,0.00,4,1,1,0.25,0,0,0,0.00,4.0,1.0
Briar Cliff,RS,6,13,9,0.69,16,46,-.152,0,0.00,0,0.00,3,0,8,0.62,0,4,4,0.31,11.0,0.8
Briar Cliff,MH,28,101,174,1.72,72,494,.206,5,0.05,24,0.24,14,0,78,0.77,23,65,88,0.87,253.5,2.5
Briar Cliff,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,DS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,MH,28,91,79,0.87,58,411,.051,5,0.05,0,0.00,21,2,51,0.56,0,40,40,0.44,99.0,1.1
Briar Cliff,DS,2,2,0,0.00,0,0,-,0,0.00,1,0.50,3,0,0,0.00,0,0,0,0.00,1.0,0.5
Briar Cliff,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Briar Cliff,OH,5,6,16,2.67,3,36,.361,0,0.00,0,0.00,7,0,4,0.67,0,3,3,0.50,17.5,2.9
